488 COPPIA: 31727 31729  T: 0.117373
489 COPPIA: 31769 31771  T: 0.117652
490 COPPIA: 31847 31849  T: 0.118043
491 COPPIA: 32027 32029  T: 0.118957
492 COPPIA: 32057 32059  T: 0.119125
493 COPPIA: 32117 32119  T: 0.119551
494 COPPIA: 32141 32143  T: 0.119712
495 COPPIA: 32189 32191  T: 0.120043
496 COPPIA: 32297 32299  T: 0.120770
497 COPPIA: 32321 32323  T: 0.120923
498 COPPIA: 32369 32371  T: 0.121297
499 COPPIA: 32411 32413  T: 0.121562
500 COPPIA: 32441 32443  T: 0.121765
501 COPPIA: 32531 32533  T: 0.122392
502 COPPIA: 32561 32563  T: 0.122619
503 COPPIA: 32609 32611  T: 0.123003
504 COPPIA: 32717 32719  T: 0.123632
505 COPPIA: 32801 32803  T: 0.124213
506 COPPIA: 32831 32833  T: 0.124367
507 COPPIA: 32909 32911  T: 0.124861
508 COPPIA: 32939 32941  T: 0.125029
509 COPPIA: 32969 32971  T: 0.125192
510 COPPIA: 33071 33073  T: 0.126397
511 COPPIA: 33149 33151  T: 0.126839
512 COPPIA: 33179 33181  T: 0.127021
513 COPPIA: 33287 33289  T: 0.127667
514 COPPIA: 33329 33331  T: 0.127974
515 COPPIA: 33347 33349  T: 0.128132
516 COPPIA: 33587 33589  T: 0.129842
517 COPPIA: 33599 33601  T: 0.130097
518 COPPIA: 33617 33619  T: 0.130395
519 COPPIA: 33749 33751  T: 0.131315
520 COPPIA: 33767 33769  T: 0.131467
521 COPPIA: 33809 33811  T: 0.131703
522 COPPIA: 33827 33829  T: 0.131850
523 COPPIA: 34031 34033  T: 0.133176
524 COPPIA: 34127 34129  T: 0.133715
525 COPPIA: 34157 34159  T: 0.133977
526 COPPIA: 34211 34213  T: 0.134300
527 COPPIA: 34259 34261  T: 0.134610
528 COPPIA: 34301 34303  T: 0.134911
529 COPPIA: 34367 34369  T: 0.135417
530 COPPIA: 34469 34471  T: 0.135982
531 COPPIA: 34499 34501  T: 0.136228
532 COPPIA: 34511 34513  T: 0.136312
533 COPPIA: 34589 34591  T: 0.136918
534 COPPIA: 34649 34651  T: 0.137205
535 COPPIA: 34757 34759  T: 0.138055
536 COPPIA: 34841 34843  T: 0.138666
537 COPPIA: 34847 34849  T: 0.138740
538 COPPIA: 34961 34963  T: 0.139498
539 COPPIA: 35051 35053  T: 0.140088
540 COPPIA: 35081 35083  T: 0.140358
541 COPPIA: 35279 35281  T: 0.141615
542 COPPIA: 35447 35449  T: 0.142898
543 COPPIA: 35507 35509  T: 0.143276
544 COPPIA: 35531 35533  T: 0.143522
545 COPPIA: 35591 35593  T: 0.143980
546 COPPIA: 35729 35731  T: 0.144762
547 COPPIA: 35801 35803  T: 0.145312
548 COPPIA: 35837 35839  T: 0.145561
549 COPPIA: 35897 35899  T: 0.145925
550 COPPIA: 36011 36013  T: 0.146965
551 COPPIA: 36107 36109  T: 0.147704
552 COPPIA: 36341 36343  T: 0.149320
553 COPPIA: 36467 36469  T: 0.150176
554 COPPIA: 36527 36529  T: 0.150546
555 COPPIA: 36779 36781  T: 0.152763
556 COPPIA: 36791 36793  T: 0.152959
557 COPPIA: 36899 36901  T: 0.153614
558 COPPIA: 36929 36931  T: 0.153861
559 COPPIA: 37019 37021  T: 0.154569
560 COPPIA: 37199 37201  T: 0.155891
561 COPPIA: 37307 37309  T: 0.156658
562 COPPIA: 37337 37339  T: 0.156913
563 COPPIA: 37361 37363  T: 0.157083
564 COPPIA: 37547 37549  T: 0.158464
565 COPPIA: 37571 37573  T: 0.158699
566 COPPIA: 37589 37591  T: 0.158884
567 COPPIA: 37691 37693  T: 0.159596
568 COPPIA: 37781 37783  T: 0.160229
569 COPPIA: 37811 37813  T: 0.160755
570 COPPIA: 37991 37993  T: 0.162147
571 COPPIA: 38237 38239  T: 0.164011
572 COPPIA: 38327 38329  T: 0.164774
573 COPPIA: 38447 38449  T: 0.165654
574 COPPIA: 38459 38461  T: 0.165788
575 COPPIA: 38567 38569  T: 0.166484
576 COPPIA: 38609 38611  T: 0.166779
577 COPPIA: 38651 38653  T: 0.167187
578 COPPIA: 38669 38671  T: 0.167329
579 COPPIA: 38711 38713  T: 0.167739
580 COPPIA: 38747 38749  T: 0.168076
581 COPPIA: 38921 38923  T: 0.169282
582 COPPIA: 39041 39043  T: 0.170436
583 COPPIA: 39161 39163  T: 0.171401
584 COPPIA: 39227 39229  T: 0.171846
